7.465: [Full GC [PSYoungGen: 30090K->0K(38208K)] [ParOldGen: 336448K->282537K(349568K)] 366538K->282537K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1488850 secs] [Times: user=0.27 sys=0.00, real=0.15 secs] 
7.627: [GC [PSYoungGen: 24211K->32K(38208K)] 306748K->306780K(387776K), 0.0119950 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
7.665: [Full GC [PSYoungGen: 27324K->0K(38208K)] [ParOldGen: 330549K->287652K(349568K)] 357874K->287652K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1737980 secs] [Times: user=0.31 sys=0.01, real=0.17 secs] 
7.876: [Full GC [PSYoungGen: 29206K->0K(38208K)] [ParOldGen: 331148K->310139K(349568K)] 360355K->310139K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1891330 secs] [Times: user=0.33 sys=0.00, real=0.19 secs] 
8.092: [Full GC [PSYoungGen: 25728K->0K(38208K)] [ParOldGen: 334499K->205672K(349568K)] 360228K->205672K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1545140 secs] [Times: user=0.27 sys=0.00, real=0.16 secs] 
8.303: [GC [PSYoungGen: 23720K->0K(38208K)] 314154K->314154K(387776K), 0.0123120 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
8.315: [Full GC [PSYoungGen: 0K->0K(38208K)] [ParOldGen: 314154K->314154K(349568K)] 314154K->314154K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.0158280 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
8.348: [GC [PSYoungGen: 32439K->64K(38208K)] 346594K->346595K(387776K), 0.0148920 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
8.363: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 346531K->306806K(349568K)] 346595K->306806K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1719650 secs] [Times: user=0.31 sys=0.01, real=0.18 secs] 
8.560: [Full GC [PSYoungGen: 28742K->0K(38208K)] [ParOldGen: 326090K->189083K(349568K)] 354833K->189083K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1465700 secs] [Times: user=0.26 sys=0.00, real=0.15 secs] 
8.742: [GC [PSYoungGen: 24744K->64K(38208K)] 257782K->257845K(387776K), 0.0118450 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
8.810: [Full GC [PSYoungGen: 31046K->0K(38208K)] [ParOldGen: 339150K->214407K(349568K)] 370196K->214407K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1625070 secs] [Times: user=0.27 sys=0.00, real=0.16 secs] 
8.997: [GC [PSYoungGen: 24670K->64K(38208K)] 259340K->259404K(387776K), 0.0119980 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
9.034: [GC [PSYoungGen: 28229K->64K(38208K)] 312240K->312019K(387776K), 0.0138750 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
9.048: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 311955K->277242K(349568K)] 312019K->277242K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1660940 secs] [Times: user=0.30 sys=0.00, real=0.17 secs] 
9.228: [GC [PSYoungGen: 25836K->64K(38208K)] 303079K->303080K(387776K), 0.0126620 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
